Person,Time (Chinese),Start Time,End Time,Place,Event
Chumo 處默,?,0835-01-01,0881-03-01,Wu-Yue 吳越,from here
Chumo 處默,?,0881-03-01,0881-07-01,Mt. Beigu 北固山,travels here with Luo Yin
Chumo 處默,?,0881-07-01,0882-12-01,Qiantang 錢塘,travels here with Luo Yin
Chumo 處默,中和2,0882-12-01,0883-02-01,Mt. Lu 廬山,Luo Yin sends him a poem here
Chumo 處默,,0883-02-01,0884-02-01,Mt. Lu 廬山,
Chumo 處默,,0884-02-01,0885-02-01,Mt. Lu 廬山,
Chumo 處默,,0885-02-01,0886-02-01,Mt. Lu 廬山,
Chumo 處默,,0886-02-01,0887-02-01,Mt. Lu 廬山,
Chumo 處默,,0887-02-01,0888-02-01,Mt. Lu 廬山,
Chumo 處默,,0888-02-01,0889-02-01,Mt. Lu 廬山,
Chumo 處默,,0889-02-01,0890-02-01,Mt. Lu 廬山,
Chumo 處默,,0890-02-01,0891-02-01,Mt. Lu 廬山,
Chumo 處默,,0891-02-01,0892-02-01,Mt. Lu 廬山,
Chumo 處默,,0892-02-01,0893-03-22,Mt. Lu 廬山,
Chumo 處默,景福2,0893-03-22,0894-02-01,?,writes poem thinking of Mt. Lu
Chumo 處默,,0894-02-01,0895-02-01,?,
Chumo 處默,,0895-02-01,0896-02-01,?,
Chumo 處默,,0896-02-01,0897-02-01,?,
Chumo 處默,,0897-02-01,0898-02-01,?,
Chumo 處默,,0898-02-01,0899-02-14,?,
Chumo 處默,光化2,0899-02-14,0899-02-14,Hongzhou 洪州,"exchanges poems with Xiumu, who is Samgha rectifier here"
Danjiao 淡交,乾符,0874-12-17,0875-02-01,Suzhou 蘇州,"lived here, active during this period"
Danjiao 淡交,,0875-02-01,0876-02-01,Suzhou 蘇州,
Danjiao 淡交,,0876-02-01,0877-02-01,Suzhou 蘇州,
Danjiao 淡交,,0877-02-01,0878-02-01,Suzhou 蘇州,
Danjiao 淡交,,0878-02-01,0879-02-01,Suzhou 蘇州,
Danjiao 淡交,,0879-02-01,0880-02-13,Suzhou 蘇州,
Danjiao 淡交,,0880-02-13,0880-02-13,Suzhou 蘇州,
Fazhen 法振,,0760-02-01,0761-02-01,Jiangdong 江東,
Fazhen 法振,,0761-02-01,0762-02-01,Jiangdong 江東,
Fazhen 法振,,0762-02-01,0763-02-01,Jiangdong 江東,
Fazhen 法振,,0763-02-01,0764-02-01,Jiangdong 江東,
