Rank	Poet	Betweenness Centrality	Betweenness Centrality (legible)	Clergy?
1	Yao He 姚合	0.034668	3466.80	No
2	Wu Rong 吳融	0.029994	2999.40	No
3	Li Qunyu 李群玉	0.028061	2806.10	No
4	Guanxiu 貫休	0.025425	2542.50	Buddhist
5	Fang Gan 方干	0.023842	2384.20	No
6	Xu Hun 許渾	0.018185	1818.50	No
7	Du Mu 杜牧	0.016937	1693.70	No
8	Li Pin 李頻	0.013633	1363.30	No
9	Zhang Hu 張祜	0.012405	1240.50	No
10	Yin Yaofan 殷堯藩	0.012336	1233.60	No
11	Luo Yin 羅隱	0.012243	1224.30	No
12	Qiji 齊己	0.012057	1205.70	Buddhist
13	Jia Dao 賈島	0.011815	1181.50	No
14	Zheng Gu 鄭谷	0.011529	115.29	No
15	Lu Guimeng 陸龜蒙	0.010481	104.81	No
16	Shangyan 尚顏	0.010251	102.51	Buddhist
17	Duan Chengshi 段成式	0.010037	100.37	No
18	Li Shangyin 李商隱	0.008972	89.72	No
19	Pi Rixiu 皮日休	0.008813	88.13	No
20	Zhu Qingyu 朱慶餘	0.007104	71.04	No
21	Yu Fu 喻鳧	0.006804	68.04	No
22	Shen Yazhi 沈亞之	0.005914	59.14	No
23	Gu Feixiong 顧非熊	0.005636	56.36	No
24	Zhao Gu 趙嘏	0.00492	49.20	No
25	Xue Neng 薛能	0.004851	48.51	No
26	Liu Deren 劉得仁	0.004317	43.17	No
27	Wen Tingyun 溫庭筠	0.004213	42.13	No
28	Xiang Si 項斯	0.00409	40.90	No
29	Zhang Qiao 張喬	0.003748	37.48	No
30	Cao Ye 曹鄴	0.003698	36.98	No
31	Qibai 棲白	0.003661	36.61	Buddhist
32	Han Wo 韓偓	0.003376	33.76	No
33	Li Deyu 李德裕	0.003247	32.47	No
34	Wuke 無可	0.003055	30.55	Buddhist
35	Xu Tang 許棠	0.002722	27.22	No
36	Yong Tao 雍陶	0.002545	25.45	No
37	Xu Ning 徐凝	0.00249	24.90	No
38	Zhang Xiaobiao 章孝標	0.00214	21.40	No
39	Du Xunhe 杜荀鶴	0.002119	21.19	No
40	Ma Dai 馬戴	0.00204	20.40	No
41	Bao Rong 鮑溶	0.001913	19.13	No
42	Huang Tao 黃滔	0.001789	17.89	No
43	Cui Daorong 崔道融	0.001408	14.08	No
44	Yuanfu 元孚	0.001395	13.95	Buddhist
45	Wang Qi 王起	0.001338	13.38	No
46	Ouyang Gun 歐陽袞	0.001239	12.39	
47	Wu Qiao 伍喬	0.001225	12.25	No
48	Xue Feng 薛逢	0.001222	12.22	No
49	Chu Sizong 儲嗣宗	0.001222	12.22	No
50	Shi Jianwu 施肩吾	0.001221	12.21	No
51	Wei Zhuang 韋莊	0.00121	12.10	No
52	Xiumu 修睦	0.001208	12.08	Buddhist
53	Li Shen 李紳	0.001131	11.31	No
54	Cao Song 曹松	0.001087	10.87	No
55	Zhou He 周賀	0.001083	10.83	Buddhist
56	Li Yuan 李遠	0.000989	9.89	No
57	Cui Pu 崔璞	0.000956	9.56	No
58	Shen Chuanshi 沈傳師	0.000797	7.97	No
59	Fei Guanqing 費冠卿	0.000779	7.79	No
60	Sikong Tu 司空圖	0.000752	7.52	No
61	Wang Zhenbai 王貞白	0.000729	7.29	No
62	Liu Cang 劉滄	0.000682	6.82	No
63	Meng Jian 孟簡	0.000592	5.92	
64	Yan Xuan 顏萱	0.000492	4.92	No
65	Zhang Pin 張蠙	0.000478	4.78	No
66	Li Fengji 李逢吉	0.000455	4.55	
67	Xu Yin 徐夤	0.000443	4.43	No
68	Li Dong 李洞	0.000441	4.41	No
69	Chen Tao 陳陶	0.000438	4.38	No
70	Yang Jingzhi 楊敬之	0.000424	4.24	
71	Yang Sifu 楊嗣復	0.000421	4.21	No
72	Yang Rushi 楊汝士	0.000391	3.91	
73	Zhang Bi 張賁	0.000373	3.73	No
74	Yang Zhaoye 羊昭業	0.00036	3.60	No
75	Xu Xuan 徐鉉	0.000359	3.59	No
76	Weng Chengzan 翁承贊	0.000343	3.43	No
77	Xuzhong 虛中	0.00029	2.90	Buddhist
78	Zhou Pu 周朴	0.000278	2.78	No
79	Cui Xuan 崔鉉	0.000268	2.68	No
80	Lu Chang 陸暢	0.000261	2.61	No
81	Zhou Yao 周繇	0.000242	2.42	No
82	Wang Di 王滌	0.000196	1.96	No
83	Tang Fu 唐扶	0.000184	1.84	No
84	Li Jianxun 李建勳	0.000178	1.78	No
85	Guangxuan 廣宣	0.000167	1.67	Buddhist
86	Jia Chi 賈馳	0.000158	1.58	No
87	Niu Sengru 牛僧孺	0.000142	1.42	No
88	Tang Yue 湯悅	0.000123	1.23	No
89	Xu Xiren 徐希仁	0.000121	1.21	No
90	Zhong Qian 鍾蒨	0.000096	0.96	No
91	Zhou Chi 周墀	0.000089	0.89	No
92	Lin Kuan 林寬	0.000088	0.88	No
93	Meng Qiu 孟球	0.000079	0.79	No
94	Zhang Daofu 張道符	0.000079	0.79	No
95	Wei Pu 魏樸	0.000071	0.71	No
96	Wang Bo 王播	0.00007	0.70	No
97	Wei Fu 魏扶	0.00007	0.70	No
98	Liu Jia 劉駕	0.000068	0.68	No
99	Huang Po 黃頗	0.000064	0.64	No
100	Li Zongmin 李宗閔	0.00006	0.60	No
101	Shen Bin 沈彬	0.000058	0.58	No
102	Shi Guan 石貫	0.000057	0.57	No
103	Zhang Yifang 張義方	0.000055	0.55	No
104	Li Jingrang 李景讓	0.000052	0.52	No
105	Zhixuan 知玄	0.000046	0.46	Buddhist
106	Cui Yan 崔郾	0.00003	0.30	No
107	Li Peng 李朋	0.00003	0.30	No
108	Yang Hangong 楊漢公	0.000029	0.29	No
109	Li Hui 李回	0.000028	0.28	No
110	Meng Binyu 孟賓于	0.000027	0.27	No
111	Liu Gu 劉谷	0.000026	0.26	No
112	Li Xianyong 李咸用	0.000025	0.25	No
113	Lu Yanrang 盧延讓	0.000024	0.24	No
114	Han Cong 韓琮	0.000017	0.17	No
115	Kuai Xiyi 蒯希逸	0.000016	0.16	No
116	Li Changfu 李昌符	0.000012	0.12	No
117	Yu Di 于頔	0.000007	0.07	No
118	Li Xuan 厲玄	0.000007	0.07	No
119	Li Kuo 李廓	0.000007	0.07	No
120	Qichan 棲蟾	0.000005	0.05	Buddhist
121	Zhou Yuanfan 周元範	0.000004	0.04	No
122	Zhang Daogu 張道古	0.000003	0.03	No
123	Zuo Yan 左偃	0.000003	0.03	No
124	Liao Rong 廖融	0.000003	0.03	No
125	Liu Geng 劉耕	0.000001	0.01	No
126	Li Qian 李潛	0.000001	0.01	No
	Hu Gao 胡杲	0	0.00	No
	Ji Jiao 吉皎	0	0.00	No
	Zheng Ju 鄭據	0	0.00	No
	Lu Zhen 盧真	0	0.00	No
	Zhang Hun 張渾	0	0.00	No
	Wei Shi 韋式	0	0.00	No
	Li Liang 李諒	0	0.00	No
	Lu Zhen 盧貞	0	0.00	No
	Yang Heng 楊衡	0	0.00	No
	Cui Xuanliang 崔玄亮	0	0.00	No
	Mou Rong 牟融	0	0.00	No
	Liu Yanshi 劉言史	0	0.00	No
	Xiong Rudeng 熊孺登	0	0.00	No
	Li She 李涉	0	0.00	No
	Pei Yizhi 裴夷直	0	0.00	No
	Yao Hu 姚鵠	0	0.00	No
	Sima Zha 司馬紮	0	0.00	No
	Gao Qu 高璩	0	0.00	No
	Sima Du 司馬都	0	0.00	No
	Yuan Hao 袁皓	0	0.00	No
	Zheng Renbiao 鄭仁表	0	0.00	No
	Cui Lu 崔璐	0	0.00	No
	Li Gu 李穀	0	0.00	No
	Zheng Bi 鄭璧	0	0.00	No
	Gu Yun 顧雲	0	0.00	No
	Li Shanfu 李山甫	0	0.00	No
	Luo Ye 羅鄴	0	0.00	No
	Li Bo 李搏	0	0.00	No
	Weng Tao 翁洮	0	0.00	No
	Gao Chan 高蟾	0	0.00	No
	Zhang Jie 章碣	0	0.00	No
	Tang Yanqian 唐彥謙	0	0.00	No
	Cui Tu 崔塗	0	0.00	No
