Source,Target,Type,Id,Label,timeset,Weight,Poem #,Verb,Generic?,Clergy?,Contemporary?,Full Title,Column
Hu Gao 胡杲,Ji Jiao 吉皎,Directed,0,,,1,463_001,Gathering 會,No,No,Yes,七老會詩（杲年八十九）,
Hu Gao 胡杲,Liu Zhen 劉真,Directed,1,,,1,463_001,Gathering 會,No,No,Yes,七老會詩（杲年八十九）,
Hu Gao 胡杲,Zheng Ju 鄭據,Directed,2,,,1,463_001,Gathering 會,No,No,Yes,七老會詩（杲年八十九）,
Hu Gao 胡杲,Lu Zhen 盧真,Directed,3,,,1,463_001,Gathering 會,No,No,Yes,七老會詩（杲年八十九）,
Hu Gao 胡杲,Zhang Hun 張渾,Directed,4,,,1,463_001,Gathering 會,No,No,Yes,七老會詩（杲年八十九）,
Ji Jiao 吉皎,Hu Gao 胡杲,Directed,5,,,1,463_002,Gathering 會,No,No,Yes,七老會詩（皎年八十八）,
Ji Jiao 吉皎,Liu Zhen 劉真,Directed,6,,,1,463_002,Gathering 會,No,No,Yes,七老會詩（皎年八十八）,
Ji Jiao 吉皎,Zheng Ju 鄭據,Directed,7,,,1,463_002,Gathering 會,No,No,Yes,七老會詩（皎年八十八）,
Ji Jiao 吉皎,Lu Zhen 盧真,Directed,8,,,1,463_002,Gathering 會,No,No,Yes,七老會詩（皎年八十八）,
Ji Jiao 吉皎,Zhang Hun 張渾,Directed,9,,,1,463_002,Gathering 會,No,No,Yes,七老會詩（皎年八十八）,
Liu Zhen 劉真,Hu Gao 胡杲,Directed,10,,,1,463_003,Gathering 會,No,No,Yes,七老會詩（真年八十七）,
Liu Zhen 劉真,Ji Jiao 吉皎,Directed,11,,,1,463_003,Gathering 會,No,No,Yes,七老會詩（真年八十七）,
Liu Zhen 劉真,Zheng Ju 鄭據,Directed,12,,,1,463_003,Gathering 會,No,No,Yes,七老會詩（真年八十七）,
Liu Zhen 劉真,Lu Zhen 盧真,Directed,13,,,1,463_003,Gathering 會,No,No,Yes,七老會詩（真年八十七）,
Liu Zhen 劉真,Zhang Hun 張渾,Directed,14,,,1,463_003,Gathering 會,No,No,Yes,七老會詩（真年八十七）,
Zheng Ju 鄭據,Hu Gao 胡杲,Directed,15,,,1,463_004,Gathering 會,No,No,Yes,七老會詩（據年八十五）,
Zheng Ju 鄭據,Ji Jiao 吉皎,Directed,16,,,1,463_004,Gathering 會,No,No,Yes,七老會詩（據年八十五）,
Zheng Ju 鄭據,Liu Zhen 劉真,Directed,17,,,1,463_004,Gathering 會,No,No,Yes,七老會詩（據年八十五）,
Zheng Ju 鄭據,Lu Zhen 盧真,Directed,18,,,1,463_004,Gathering 會,No,No,Yes,七老會詩（據年八十五）,
Zheng Ju 鄭據,Zhang Hun 張渾,Directed,19,,,1,463_004,Gathering 會,No,No,Yes,七老會詩（據年八十五）,
Lu Zhen 盧真,Hu Gao 胡杲,Directed,20,,,1,463_005,Gathering 會,No,No,Yes,七老會詩（真年八十三）,
Lu Zhen 盧真,Ji Jiao 吉皎,Directed,21,,,1,463_005,Gathering 會,No,No,Yes,七老會詩（真年八十三）,
Lu Zhen 盧真,Liu Zhen 劉真,Directed,22,,,1,463_005,Gathering 會,No,No,Yes,七老會詩（真年八十三）,
Lu Zhen 盧真,Zheng Ju 鄭據,Directed,23,,,1,463_005,Gathering 會,No,No,Yes,七老會詩（真年八十三）,
Lu Zhen 盧真,Zhang Hun 張渾,Directed,24,,,1,463_005,Gathering 會,No,No,Yes,七老會詩（真年八十三）,
Zhang Hun 張渾,Hu Gao 胡杲,Directed,25,,,1,463_006,Gathering 會,No,No,Yes,七老會詩（渾年七十七）,
Zhang Hun 張渾,Ji Jiao 吉皎,Directed,26,,,1,463_006,Gathering 會,No,No,Yes,七老會詩（渾年七十七）,
Zhang Hun 張渾,Liu Zhen 劉真,Directed,27,,,1,463_006,Gathering 會,No,No,Yes,七老會詩（渾年七十七）,
Zhang Hun 張渾,Zheng Ju 鄭據,Directed,28,,,1,463_006,Gathering 會,No,No,Yes,七老會詩（渾年七十七）,
Zhang Hun 張渾,Lu Zhen 盧真,Directed,29,,,1,463_006,Gathering 會,No,No,Yes,七老會詩（渾年七十七）,
Wei Shi 韋式,Wang Qi 王起,Directed,30,,,1,463_007,With 同,No,No,Yes,一字至七字詩、竹,
Wei Shi 韋式,Bai Juyi 白居易,Directed,31,,,1,463_007,Seeing off 送,No,No,Yes,一字至七字詩、竹,
Zhang Tong 張彤,Bai Juyi 白居易,Directed,32,,,1,463_008,Offered in Response to 奉和,No,No,Yes,奉和白太守揀橘,
Zhou Yuanfan 周元範,Bai Juyi 白居易,Directed,33,,,2,463_009,Matching 和,No,No,Yes,和白太守揀貢橘,
Zhou Yuanfan 周元範,Zhu Qingyu 朱慶餘,Directed,34,,,1,463_010,Cast before 投,No,No,Yes,句,
Lu Gong 盧拱,Luo Jun 駱浚,Directed,35,,,1,463_015,N/A,No,No,No,句,
Li Liang 李諒,Yuan Zhen 元稹,Directed,36,,,1,463_016,Sent to 寄,No,No,Yes,蘇州元日郡齋感懷、寄越州元相公、杭州白舍人,
Li Liang 李諒,Bai Juyi 白居易,Directed,37,,,1,463_016,Sent to 寄,No,No,Yes,蘇州元日郡齋感懷、寄越州元相公、杭州白舍人,
Lu Zhen 盧貞,Bai Juyi 白居易,Directed,39,,,1,463_021,Matching 和,No,No,Yes,和白尚書賦永豐柳,
Lu Zhen 盧貞,Liu Yuxi 劉禹錫,Directed,40,,,1,463_022,Matching 和,No,No,Yes,和劉夢得歲夜懷友,
Wang Qi 王起,Li Deyu 李德裕,Directed,41,,,1,464_001,Matching 和,No,No,Yes,和李校書雨中自秘省見訪知早入朝便入集賢不遇詩,
Wang Qi 王起,Confucius 孔子,Directed,42,,,1,464_002,Calling upon 謁,No,No,No,貢舉人謁先師聞雅樂,
Wang Qi 王起,Zhou Chi 周墀,Directed,43,,,1,464_004,Matching 和,No,No,Yes,和周侍郎見寄,
Wang Qi 王起,Yu Hongjian 于鴻漸,Directed,44,,,1,464_005,Given to 贈,No,Daoist,Yes,贈毛仙翁,
Yang Sifu 楊嗣復,Zhuge Liang 諸葛亮,Directed,46,,,1,464_019,Offer Sacrifices to 祭,No,No,Yes,丁巳歲八月祭武侯祠堂、因題臨淮公舊碑,
Yang Sifu 楊嗣復,Wu Yuanheng 武元衡,Directed,47,,,1,464_019,Inscribed 題,No,No,Yes,丁巳歲八月祭武侯祠堂、因題臨淮公舊碑,
Yang Sifu 楊嗣復,Yu Hongjian 于鴻漸,Directed,48,,,1,464_021,Given to 贈,No,Daoist,Yes,贈毛仙翁,
Yang Heng 楊衡,Lu Xiujing 陸修靜,Directed,49,,,1,465_005,Traveling to 遊,No,Daoist,No,游陸先生故岩居,
Yang Heng 楊衡,Liu Xuanhe 劉玄和,Directed,50,,,1,465_006,Inscribed 題,No,Daoist,No,題玄和師仙藥室,
Yang Heng 楊衡,Zhang Bogang 張伯剛,Directed,51,,,1,465_009,Parting with 別,No,No,Yes,將之荊州南與張伯剛馬惣鐘陵夜別,
Yang Heng 楊衡,Ma Zong 馬惣,Directed,52,,,1,465_009,Parting with 別,No,No,Yes,將之荊州南與張伯剛馬惣鐘陵夜別,
Yang Heng 楊衡,Tian Wan 田灣,Directed,54,,,1,465_013,Sent to be given to 寄贈,No,No,Yes,寄贈田倉曹灣,
Yang Heng 楊衡,Fan Ze 樊澤,Directed,55,,,1,465_019,Accompanying 陪,No,No,Yes,九日陪樊尚書龍山宴集,
Yang Heng 楊衡,Gongsun Qi 公孫器,Directed,56,,,1,465_023,Seeing off 送,No,No,Yes,送公孫器自桂林歸蜀,
Yang Heng 楊衡,Huang Dongyuan 黃洞元,Directed,57,,,1,465_025,Given to 贈,No,Daoist,Yes,登紫霄峰贈黃仙師,
Yang Heng 楊衡,Chen Ajiao 陳阿嬌,Directed,58,,,1,465_028,Lament of 怨,No,No,No,長門怨,
Yang Heng 楊衡,Lingche 靈澈,Directed,59,,,2,465_029,Sent to 寄,No,Buddhist,Yes,寄徹公,
Yang Heng 楊衡,Li Yuanxiang 李元象,Directed,60,,,1,465_030,Weeping over 哭,No,No,Yes,哭李象,
Yang Heng 楊衡,Li Fu 李復,Directed,61,,,1,465_036,Seeing off 送,No,No,Yes,廣州石門寺重送李尚赴朝、時兼宗正卿,
Yang Heng 楊衡,Kong Zhouzhi 孔周之,Directed,62,,,1,465_037,Seeing off 送,No,No,Yes,送孔周之南海謁王尚書,
Yang Heng 楊衡,Chen Fang 陳房,Directed,63,,,1,465_039,Seeing off 送,No,No,Yes,送陳房謁撫州周使君,
Yang Heng 楊衡,Xuanyan 玄晏,Directed,64,,,1,465_040,Given to 贈,No,Buddhist,Yes,山齋獨宿贈晏上人,
Yang Heng 楊衡,Chen Yu 陳羽,Directed,65,,,1,465_041,Parting with 別,No,No,Yes,桂州與陳羽念別,
Niu Sengru 牛僧孺,Emperor Muzong 唐穆宗,Directed,66,,,1,466_001,Partaking 享,No,No,Yes,享太廟樂章,
Niu Sengru 牛僧孺,Bai Juyi 白居易,Directed,67,,,3,466_002,Offered in Response to 奉和,No,No,Yes,樂天夢得有歲夜詩聊以奉和,
Niu Sengru 牛僧孺,Liu Yuxi 劉禹錫,Directed,68,,,3,466_002,Offered in Response to 奉和,No,No,Yes,樂天夢得有歲夜詩聊以奉和,
Zhan Bi 湛賁,Zhan Maozhi 湛茂之,Directed,69,,,1,466_008,Inscribed 題,No,No,No,題曆山司徒右長史祖宅,
Zhan Bi 湛賁,Lü Wei 呂渭,Directed,70,,,1,466_009,Looking over 覽,No,No,No,伏覽呂侍郎丘員外舊題十三代祖曆山草堂詩因書記事,
Zhan Bi 湛賁,Qiu Dan 丘丹,Directed,71,,,1,466_009,Looking over 覽,No,No,No,伏覽呂侍郎丘員外舊題十三代祖曆山草堂詩因書記事,
Xue Cuncheng 薛存誠,Duan Xiushi 段秀實,Directed,72,,,1,466_012,Written on Imperial Command 應制,No,No,Yes,禦制段太尉碑（一作薛有誠詩）,
Pei Ciyuan 裴次元,Fan Zeng 范增,Directed,73,,,1,466_025,Composed on 賦,No,No,No,賦得亞父碎玉鬥,
Zhang Zhongfang 張仲方,Yu Hongjian 于鴻漸,Directed,74,,,1,466_037,Given to 贈,No,Daoist,Yes,贈毛仙翁,
Cui Xuanliang 崔玄亮,Bai Juyi 白居易,Directed,75,,,1,466_039,Matching 和,No,No,Yes,和白樂天（時以太子賓客分司東都）,
Wang Bo 王播,Li Deyu 李德裕,Directed,76,,,1,466_043,Replying to 酬,No,No,Yes,淮南遊故居感舊、酬西川李尚書德裕,
Shen Chuanshi 沈傳師,Tang Fu 唐扶,Directed,77,,,1,466_046,Replying to 酬,No,No,Yes,次潭州、酬唐侍御、姚員外游道林嶽麓寺題示,
Shen Chuanshi 沈傳師,Yao Xiang 姚向,Directed,78,,,1,466_046,Replying to 酬,No,No,Yes,次潭州、酬唐侍御、姚員外游道林嶽麓寺題示,
Shen Chuanshi 沈傳師,Li Deyu 李德裕,Directed,79,,,1,466_047,Matching 和,No,No,Yes,和李德裕觀玉蕊花見懷之作,
Shen Chuanshi 沈傳師,Yu Hongjian 于鴻漸,Directed,80,,,1,466_048,Given to 贈,No,Daoist,Yes,贈毛仙翁,
Bai Xingjian 白行簡,Confucius 孔子,Directed,81,,,1,466_055,N/A,No,No,No,夫子鼓琴得其人,
Bai Xingjian 白行簡,Li Ling 李陵,Directed,82,,,1,466_056,N/A,No,No,No,李都尉重陽日得蘇屬國書,
Bai Xingjian 白行簡,Su Wu 蘇武,Directed,83,,,1,466_056,N/A,No,No,No,李都尉重陽日得蘇屬國書,
Bai Xingjian 白行簡,Bai Juyi 白居易,Directed,84,,,1,466_057,Shown to 呈,No,No,Yes,在巴南望郡南山呈樂天（時從樂天忠州）,
Mou Rong 牟融,Luo Yue 羅約,Directed,85,,,1,467_005,Seeing off 送,No,No,Yes,送羅約,
Mou Rong 牟融,Li Sixun 李思訓,Directed,86,,,1,467_006,Inscribed 題,No,No,No,題李昭訓山水,
Mou Rong 牟融,Yang Chuhou 楊處厚,Directed,87,,,2,467_007,Sent to 寄,No,No,Yes,處厚游杭、作詩寄之,
Mou Rong 牟融,Zhao Zhi 趙支,Directed,88,,,1,467_015,Inscribed 題,No,No,Yes,題趙支,
Mou Rong 牟融,Sima Qian 司馬遷,Directed,89,,,1,467_016,N/A,No,No,No,司馬遷墓,
Mou Rong 牟融,Ouyang Zhan 歐陽詹,Directed,90,,,1,467_021,Given to 贈,No,No,Yes,贈歐陽詹,
Mou Rong 牟融,Zhang Ji 張籍,Directed,91,,,1,467_025,Given to 贈,No,No,Yes,重贈張籍,
Mou Rong 牟融,Yin Yidao 殷以道,Directed,92,,,1,467_026,Given to 贈,No,No,Yes,贈殷以道,
Mou Rong 牟融,Shen Cunshang 沈存尚,Directed,93,,,1,467_029,N/A,No,No,Yes,沈存尚林亭夜宴,
Mou Rong 牟融,Xu Yu 徐俞,Directed,94,,,1,467_031,Inscribed 題,No,No,Yes,題徐俞山居,
Mou Rong 牟融,Li Deyu 李德裕,Directed,95,,,1,467_035,Given to 贈,No,No,Yes,贈浙西李相公,
Mou Rong 牟融,Shen Xiang 沈翔,Directed,96,,,1,467_038,Seeing off 送,No,No,Yes,送沈翔,
Mou Rong 牟融,Chen Hao 陳浩,Directed,97,,,1,467_048,Seeing off 送,No,No,Yes,送徐浩,
Mou Rong 牟融,Zhu Qingyu 朱慶餘,Directed,98,,,4,467_052,Inscribed 題,No,No,Yes,題朱慶餘閒居四首,
Mou Rong 牟融,Zhang Yuan 張源,Directed,99,,,1,467_053,Sent to 寄,No,No,Yes,寄張源,
Mou Rong 牟融,Han Hong 韓翃,Directed,100,,,1,467_060,Given to 贈,No,No,Yes,贈韓翃,
Liu Yanshi 劉言史,Meng Jiao 孟郊,Directed,101,,,2,468_002,With 與,No,No,Yes,與孟郊洛北野泉上煎茶,
Liu Yanshi 劉言史,Chen Ajiao 陳阿嬌,Directed,102,,,1,468_016,Lament of 怨,No,No,No,長門怨,
Liu Yanshi 劉言史,Cui Yi 崔倚,Directed,103,,,1,468_029,Hearing 聞,No,No,Yes,聞崔倚旅葬,
Liu Yanshi 劉言史,Wang Xizhi 王羲之,Directed,104,,,1,468_037,N/A,No,No,No,右軍墨池,
Liu Yanshi 劉言史,Qingjiang 清江,Directed,105,,,1,468_041,Grieving 傷,No,Buddhist,Yes,傷清江上人,
Liu Yanshi 劉言史,Li Yijian 李夷簡,Directed,106,,,1,468_044,Accompanying 陪,No,No,Yes,上巳日陪襄陽李尚書宴光風亭,
Liu Yanshi 劉言史,Wang Kuang 王況,Directed,107,,,1,468_050,Inscribed 題,No,No,No,題王況故居,
Liu Yanshi 劉言史,Liu Lun 柳論,Directed,108,,,1,468_052,Grieving over 慟,No,No,Yes,慟柳論,
Liu Yanshi 劉言史,Li Yin 李尹,Directed,109,,,1,468_060,Given to 贈,No,No,Yes,席上贈李尹,
Liu Yanshi 劉言史,Yang Jionglan 楊炯燗,Directed,110,,,1,468_066,Given to 贈,No,No,Yes,葛巾歌（貝州漳南縣贈楊炯燗）,
Liu Yanshi 劉言史,Fan Ze 樊澤,Directed,111,,,1,468_069,Lingering upon Parting 留別,No,No,Yes,江陵客舍留別樊尚書,
Zhangsun Zuofu 長孫佐輔,Wei You 韋宥,Directed,112,,,1,469_016,Hearing 聞,No,No,Yes,聞韋駙馬使君遷拜台州,
Wang Lufu 王魯復,Qu Yuan 屈原,Directed,113,,,1,470_025,Mourning 吊,No,No,No,吊靈均,
Wang Lufu 王魯復,Han Yu 韓愈,Directed,114,,,1,470_026,Mourning 吊,No,No,Yes,吊韓侍郎,
Wang Lufu 王魯復,Baiyan 白岩,Directed,115,,,1,470_027,N/A,No,Buddhist,Yes,故白岩禪師院,
Xu Xiren 徐希仁,Lu Tong 盧仝,Directed,116,,,1,470_028,Calling on 招,No,No,Yes,招玉川子詠新文,
Duan Hongji 段弘古,Lü Wen 呂溫,Directed,117,,,1,472_001,Respectfully Accompanying 奉陪,No,No,Yes,奉陪呂使君樓上夜看花,
He Yuanshang 何元上,Lü Wen 呂溫,Directed,118,,,1,472_002,Presented to 呈上,No,No,Yes,所居寺院涼夜書情、呈上呂和叔溫郎中,
Zhang Yan 張儼,Liu Bei 劉備,Directed,120,,,3,472_008,Calling upon 謁,No,No,No,貞元八年十二月謁先主廟絕句三首,
Xian Wang 先汪,Liu Zhen 劉真,Directed,121,,,1,472_009,Inscribed 題,No,Deity,No,題安樂山（合江青溪上六七裏、隋劉珍登真之地、有祠）,
Xue Yu 薛紆,Kang Rizhi 康日知,Directed,122,,,1,472_020,N/A,No,No,Yes,敕贈康尚書美人,
Sun Shuxiang 孫叔向,Princess Xian'an 咸安公主,Directed,123,,,1,472_023,Seeing off 送,No,No,Yes,送咸安公主,
Liu Zao 劉皂,Chen Ajiao 陳阿嬌,Directed,124,,,3,472_025,Lament of 怨,No,No,No,長門怨三首,
Pei Jiaotai 裴交泰,Chen Ajiao 陳阿嬌,Directed,125,,,1,472_028,Lament of 怨,No,No,No,長門怨,
Lin Jie 林傑,Wang Ba 王霸,Directed,126,,,1,472_031,N/A,No,Deity,No,王仙壇,
Cai Jing 蔡京,The Four Hoaryheads 四皓,Directed,127,,,1,472_040,Criticizing 責,No,No,No,責商山四皓,
Zhang Ding 張頂,Cai Jing 蔡京,Directed,128,,,1,472_043,Offered to 獻,No,No,Yes,獻蔡京,
Li Fengji 李逢吉,Li Ning 李寧,Directed,129,,,1,473_001,Partaking 享,No,No,Yes,享惠昭太子廟樂章,
Li Fengji 李逢吉,Linghu Chu 令狐楚,Directed,130,,,4,473_002,Sent to 寄,No,No,Yes,望京樓上寄令狐華州,
Li Fengji 李逢吉,Yan Shou 嚴綬,Directed,131,,,1,473_005,Matching 和,No,No,Yes,和嚴揆省中宿齋遇令狐員外當直之作,
Li Fengji 李逢吉,Li Guangyan 李光顏,Directed,132,,,1,473_006,Offered in Reply to 奉酬,No,No,Yes,奉酬忠武李相公見寄,
Li Fengji 李逢吉,Yang Juyuan 楊巨源,Directed,133,,,1,473_007,Replying to 酬,No,No,Yes,酬致政楊祭酒見寄,
Yu Di 于頔,Jiaoran 皎然,Directed,134,,,1,473_009,Given to 贈,No,Buddhist,Yes,郡齋臥疾贈晝上人,
Yu Di 于頔,Qiu Dan 丘丹,Directed,135,,,1,473_010,Matching 和,No,No,Yes,和丘員外題湛長史舊居,
Yu Di 于頔,Zhan Maozhi 湛茂之,Directed,136,,,1,473_010,Inscribed 題,No,No,No,和丘員外題湛長史舊居,
Li Bo 李渤,Li Shu 李淑,Directed,137,,,1,473_013,Delighted 喜,No,No,Yes,喜弟淑再至為長歌,
Meng Jian 孟簡,Li Ning 李寧,Directed,138,,,1,473_016,Partaking 享,No,No,Yes,享惠昭太子廟樂章,
Meng Jian 孟簡,Ouyang Zhan 歐陽詹,Directed,139,,,1,473_018,Singing of 詠,No,No,No,詠歐陽行周事,
Meng Jian 孟簡,Fan Zeng 范增,Directed,140,,,1,473_021,Composed on 賦,No,No,No,賦得亞父碎玉鬥,
Meng Jian 孟簡,Shi Jianwu 施肩吾,Directed,141,,,1,473_022,Replying to 酬,No,No,Yes,酬施先輩,
Wang Zhongshu 王仲舒,Li Bo 李渤,Directed,142,,,1,473_023,Sent to 寄,No,No,Yes,寄李十員外,
