Id,Label,timeset,alt names,dates,reign periods active,clergy?,school (mazanec synthesis),Print?,Print,betweenesscentrality,eigencentrality,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Label in print?,Print label?
Hu Gao 胡杲,Hu Gao 胡杲,,,early/mid 9th cent.,Huichang 會昌,No,,No,No,0,0.14362,5,5,10,5,5,10,,
Ji Jiao 吉皎,Ji Jiao 吉皎,,,early/mid 9th cent.,Huichang 會昌,No,,No,No,0,0.14362,5,5,10,5,5,10,,
Zheng Ju 鄭據,Zheng Ju 鄭據,,,early/mid 9th cent.,Huichang 會昌,No,,No,No,0,0.14362,5,5,10,5,5,10,,
Lu Zhen 盧真,Lu Zhen 盧真,,,early/mid 9th cent.,Huichang 會昌,No,,No,No,0,0.14362,5,5,10,5,5,10,,
Zhang Hun 張渾,Zhang Hun 張渾,,,early/mid 9th cent.,Huichang 會昌,No,,No,No,0,0.14362,5,5,10,5,5,10,,
Wei Shi 韋式,Wei Shi 韋式,,,fl. 820s,Taihe 太和,No,,No,No,0,0,0,2,2,0,2,2,,
Zhang Tong 張彤,Zhang Tong 張彤,,,fl. 820s,Changqing 長慶,No,,No,No,0,0,0,0,0,0,0,0,,
Zhou Yuanfan 周元範,Zhou Yuanfan 周元範,,,fl. 820s,"Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0.000004,0.240748,2,2,4,3,3,6,,
Lu Gong 盧拱,Lu Gong 盧拱,,,fl. 810s,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0,0.139089,1,0,1,1,0,1,,
Li Liang 李諒,Li Liang 李諒,,,775-833,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0,0,0,2,2,0,2,2,,
Wan Tongyun 萬彤雲,Wan Tongyun 萬彤雲,,,late 8th c./early 9th c.,Kaicheng 開成,No,,No,No,0,0,0,0,0,0,0,0,,
Lu Zhen 盧貞,Lu Zhen 盧貞,,,778?-848?,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Huichang 會昌, Dazhong 大中",No,,No,No,0,0,0,2,2,0,2,2,,
Shao Chuchang 邵楚萇,Shao Chuchang 邵楚萇,,,j.s. 799,Zhenyuan 貞元,No,,No,No,0,0,0,0,0,0,0,0,,
Yang Heng 楊衡,Yang Heng 楊衡,,Yang Zhongshi 楊中師,760-821?,"Dali 大曆, Jianzhong 建中, Xingyuan 興元, Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和",No,,No,No,0,0,0,3,3,0,4,4,,
Zhang Zhongfang 張仲方,Zhang Zhongfang 張仲方,,,766-837,"Jianzhong 建中, Xingyuan 興元, Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成",Daoist,,Daoist,Daoist,0,0,0,0,0,0,0,0,,
Zhan Bi 湛賁,Zhan Bi 湛賁,,,j.s. 796,Zhenyuan 貞元,No,,No,No,0,0,0,0,0,0,0,0,,
Xue Cuncheng 薛存誠,Xue Cuncheng 薛存誠,,,765-814,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和",No,,No,No,0,0,0,0,0,0,0,0,,
Pei Ciyuan 裴次元,Pei Ciyuan 裴次元,,,?-820,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和",No,,No,No,0,0,0,0,0,0,0,0,,
Cui Xuanliang 崔玄亮,Cui Xuanliang 崔玄亮,,,768-833,"Jianzhong 建中, Xingyuan 興元, Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0,0.139089,1,1,2,2,1,3,,
Wang Bo 王播,Wang Bo 王播,,,759-830,"Dali 大曆, Jianzhong 建中, Xingyuan 興元, Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0.00007,0.082423,2,1,3,3,1,4,,
Bai Xingjian 白行簡,Bai Xingjian 白行簡,,,776-826,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆",No,,No,No,0,0,0,1,1,0,1,1,,
Mou Rong 牟融,Mou Rong 牟融,,,late 8th / early 9th c. 明人偽造,明人偽造,No,,No,No,0,0,0,5,5,0,8,8,,
Liu Yanshi 劉言史,Liu Yanshi 劉言史,,,d. 812,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和",No,,No,No,0,0,0,3,3,0,4,4,,
Zhangsun Zuofu 長孫佐輔,Zhangsun Zuofu 長孫佐輔,,,late 8th / early 9th c.,"Zhenyuan 貞元, Yongzhen 永貞",No,,No,No,0,0,0,0,0,0,0,0,,
Wang Lufu 王魯復,Wang Lufu 王魯復,,Wang Mengzhou 王夢周,fl. 820s?,"Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0,0,0,1,1,0,1,1,,
Xian Wang 先汪,Xian Wang 先汪,,,late 8th / early 9th cent.,Zhenyuan 貞元,No,,No,No,0,0,0,0,0,0,0,0,,
Lin Jie 林傑,Lin Jie 林傑,,Lin Zhizhou 林智周,834-850,"Huichang 會昌, Dazhong 大中",No,,No,No,0,0,0,0,0,0,0,0,,
Yu Di 于頔,Yu Di 于頔,,,d. 818,"Jianzhong 建中, Xingyuan 興元, Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和",No,,No,No,0.000007,0.001716,1,2,3,1,2,3,,
Li Zongmin 李宗閔,Li Zongmin 李宗閔,,Li Sunzhi 李損之,d. 846,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌",No,,No,No,0.00006,0.139089,1,1,2,1,1,2,,
Xu Ning 徐凝,Xu Ning 徐凝,,,early 9th c.,"Yuanhe 元和, Changqing 長慶",No,,No,No,0.00249,0.082887,2,6,8,2,20,22,,
Li Deyu 李德裕,Li Deyu 李德裕,,Li Wenrao 李文饒,787-850,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,Yes,0.003247,0.447347,12,10,22,19,14,33,,
Xiong Rudeng 熊孺登,Xiong Rudeng 熊孺登,,,early 9th c.,Yuanhe 元和,No,,No,No,0,0,0,3,3,0,3,3,,
Li She 李涉,Li She 李涉,,Qingxizi 清溪子,early 9th c.,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆",No,,No,No,0,0,0,6,6,0,9,9,,
Lu Chang 陸暢,Lu Chang 陸暢,,Lu Dafu 陸達夫,j.s. 806,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0.000261,0.190495,2,3,5,3,4,7,,
Li Shen 李紳,Li Shen 李紳,,Li Gongchui 李公垂,772-846,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌",No,,No,No,0.001131,0.36843,5,4,9,7,4,11,,
Bao Rong 鮑溶,Bao Rong 鮑溶,,Bao Deyuan 鮑德源,j.s. 809,Yuanhe 元和,No,,No,No,0.001913,0.07349,2,16,18,3,25,28,,
Guo Zhoufan 郭周藩,Guo Zhoufan 郭周藩,,,j.s. 811,Yuanhe 元和,No,,No,No,0,0,0,0,0,0,0,0,,
Tang Fu 唐扶,Tang Fu 唐扶,,,?-839,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成",No,,No,No,0.000184,0.044633,1,1,2,1,1,2,,
Yin Yaofan 殷堯藩,Yin Yaofan 殷堯藩,,,early 9th c.,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,Yes,0.012336,0.608066,7,9,16,16,11,27,,
Shen Yazhi 沈亞之,Shen Yazhi 沈亞之,,Shen Xiaxian 沈下賢,781-832,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0.005914,0.369029,6,4,10,7,4,11,,
Shi Jianwu 施肩吾,Shi Jianwu 施肩吾,,"Shi Xisheng 希聖, Qizhenzi 棲真子",j.s. 821,Yuanhe 元和,No,,No,No,0.001221,0.067618,2,2,4,3,2,5,,
Fei Guanqing 費冠卿,Fei Guanqing 費冠卿,,Fei Zijun 費子軍,j.s. 807,"Yuanhe 元和, Changqing 長慶",No,,No,No,0.000779,0.453625,6,3,9,7,4,11,,
Yao He 姚合,Yao He 姚合,,,775?-855?,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,"Jia Dao 賈島, Zhang Ji 張籍",No,Yes,0.034668,0.857696,12,67,79,49,160,209,,
Zhou He 周賀,Zhou He 周賀,,"Qingsai 淸塞, Nanqing 南卿",fl. 830s,Taihe 太和,Buddhist,Jia Dao 賈島,Buddhist,Yes,0.001083,0.083309,1,9,10,1,15,16,,
Cui Yan 崔郾,Cui Yan 崔郾,,Cui Guanglüe 崔廣略,768-836,"Jianzhong 建中, Xingyuan 興元, Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成",No,,No,No,0.00003,0.082025,2,1,3,4,1,5,,
Gu Feixiong 顧非熊,Gu Feixiong 顧非熊,,,796-854,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,"Jia Dao 賈島, Zhang Ji 張籍",No,No,0.005636,0.617682,8,17,25,11,17,28,,
Zhang Hu 張祜,Zhang Hu 張祜,,,782-852,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,Jia Dao 賈島,No,Yes,0.012405,0.177926,6,34,40,11,58,69,,
Pei Yizhi 裴夷直,Pei Yizhi 裴夷直,,Pei Liqing 裴禮卿,j.s. 815,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,No,0,0,0,3,3,0,4,4,,
Zhu Qingyu 朱慶餘,Zhu Qingyu 朱慶餘,,,j.s. 826,Baoli 寶曆,No,,No,No,0.007104,0.42816,7,26,33,16,49,65,,
Li Xuan 厲玄,Li Xuan 厲玄,,,mid 9th cent.,"Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,No,0.000007,0.675757,7,1,8,18,1,19,,
Zhong Lu 鐘輅,Zhong Lu 鐘輅,,,j.s. 828,Taihe 太和,No,,No,No,0,0,0,0,0,0,0,0,,
Yong Tao 雍陶,Yong Tao 雍陶,,Yong Guojun 雍國鈞,j.s. 834,"Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,No,0.002545,0.428655,5,16,21,17,24,41,,
Li Yuan 李遠,Li Yuan 李遠,,Li Qiugu 李求古,"j.s. 831, d. 860?","Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,No,0.000989,0.141603,5,1,6,7,1,8,,
Du Mu 杜牧,Du Mu 杜牧,,Du Muzhi 杜牧之,803-852,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,Yes,0.016937,0.168972,8,43,51,24,63,87,,
Xu Hun 許渾,Xu Hun 許渾,,"Xu Yonghui 用晦, Xu Zhonghui 仲晦",788-858,"Zhenyuan 貞元, Yongzhen 永貞, Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,Zhang Ji 張籍,No,Yes,0.018185,0.299021,6,46,52,11,135,146,,
Li Shangyin 李商隱,Li Shangyin 李商隱,,"Li Yishan 李義山, Yuji sheng 玉谿生, Fannan sheng 樊南生",c. 813-858,"Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,Yes,0.008972,0.097981,4,28,32,4,47,51,,
Cui Yuanlüe 崔元略,Cui Yuanlüe 崔元略,,,d. 831,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和",No,,No,No,0,0,0,0,0,0,0,0,,
Yu Fu 喻鳧,Yu Fu 喻鳧,,,j.s. 840,Kaicheng 開成,No,Jia Dao 賈島,No,No,0.006804,0.412084,4,8,12,11,10,21,,
Liu Deren 劉得仁,Liu Deren 劉得仁,,,mid 9th c.,"Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,"Jia Dao 賈島, Zhang Ji 張籍",No,Yes,0.004317,0.096402,1,17,18,1,27,28,,
Xue Feng 薛逢,Xue Feng 薛逢,,Xue Taochen 薛陶臣,j.s. 841,"Kaicheng 開成, Huichang 會昌, Dazhong 大中, Xiantong 咸通",No,,No,No,0.001222,0.003059,1,15,16,1,20,21,,
Zhao Gu 趙嘏,Zhao Gu 趙嘏,,Zhao Chenyou 趙承祐,806-852?,"Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,Zhang Ji 張籍,No,No,0.00492,0.051152,2,25,27,3,47,50,,
Yao Hu 姚鵠,Yao Hu 姚鵠,,Yao Juyun 姚居云,mid 9th cent.,"Huichang 會昌, Dazhong 大中, Xiantong 咸通",No,,No,No,0,0,0,10,10,0,13,13,,
Xiang Si 項斯,Xiang Si 項斯,,Xiang Ziqian 項子遷,802?-847?,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,No,0.00409,0.008644,2,6,8,2,6,8,,
Ma Dai 馬戴,Ma Dai 馬戴,,Ma Yuchen 馬虞臣,j.s. 844,"Huichang 會昌, Dazhong 大中, Xiantong 咸通",No,,No,No,0.00204,0.664916,6,17,23,11,30,41,,
Xue Neng 薛能,Xue Neng 薛能,,Xue Dazhuo 薛大拙,j.s. 846,"Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中, Xiantong 咸通, Qianfu 乾符, Guangming 廣明",No,,No,Yes,0.004851,0.190427,6,12,18,11,13,24,,
Zhou Chi 周墀,Zhou Chi 周墀,,Zhou Desheng 周德升,793-851,"Yuanhe 元和, Changqing 長慶, Baoli 寶曆, Taihe 太和, Kaicheng 開成, Huichang 會昌, Dazhong 大中",No,,No,No,0.000089,0.236531,25,1,26,25,1,26,,
