Poet,double-draft instances,size of corpus (characters),double-draft ratio,Monk
白居易,801,188038,0.004259777279,
杜甫,151,105933,0.001425429281,
李白,130,84476,0.001538898622,
元稹,362,66447,0.005447950999,
劉禹錫,106,47856,0.002214978268,
韓愈,100,41518,0.002408593863,
貫休,305,40196,0.007587819684,Yes
齊己,149,38563,0.003863807276,Yes
陸龜蒙,91,36564,0.002488786785,
韋應物,50,33344,0.001499520154,
李商隱,103,32838,0.003136610025,
孟郊,121,32451,0.003728698653,
無名氏,114,30236,0.003770339992,
劉長卿,35,29030,0.001205649328,
皎然,70,28165,0.002485354163,Yes
杜牧,79,27627,0.002859521483,
皮日休,29,26954,0.001075907101,
王建,132,26437,0.004993002232,
姚合,36,25269,0.001424670545,
許渾,53,24949,0.002124333641,
張籍,45,24705,0.001821493625,
錢起,21,24499,0.000857177844,
岑參,33,24321,0.001356852103,
溫庭筠,35,24241,0.001443834825,
羅隱,95,24056,0.003949118723,
權德輿,17,22424,0.000758116304,
王維,36,21036,0.001711351968,
韋莊,79,19156,0.004124034245,
高適,27,19000,0.001421052632,
李賀,61,18405,0.003314316762,
賈島,22,18062,0.001218026797,
張說,25,18043,0.001385578895,
盧綸,73,17694,0.004125692325,
方干,64,17122,0.003737881089,
呂岩,129,16957,0.007607477738,
吳融,54,16715,0.00323063117,
韓偓,46,15970,0.002880400751,
薛能,73,15884,0.004595819693,
儲光羲,10,15818,0.0006321911746,
徐鉉,24,15572,0.001541227845,
柳宗元,32,15171,0.002109287456,
張祜,31,14892,0.00208165458,
杜荀鶴,119,14739,0.008073817762,
徐夤,50,14325,0.003490401396,
張九齡,10,14205,0.0007039774727,
顧況,77,13894,0.005541960559,
李端,16,13802,0.001159252282,
李中,14,13640,0.001026392962,
寒山,49,13434,0.003647461664,Semi
鮑溶,25,13251,0.001886650064,
孟浩然,10,13033,0.0007672830507,
司空圖,71,12933,0.005489832212,
戴叔倫,21,12687,0.001655237645,
李群玉,15,12548,0.001195409627,
駱賓王,15,11835,0.001267427123,
宋之問,9,11674,0.0007709439781,
趙嘏,27,11542,0.00233928262,
李咸用,43,11107,0.00387143243,
皇甫冉,10,11064,0.0009038322487,
沈佺期,7,11006,0.0006360167182,
李嶠,8,10531,0.0007596619504,
黃滔,21,10359,0.002027222705,
盧仝,84,10328,0.008133230054,
李紳,17,10311,0.001648724663,
李頎,16,10235,0.001563263312,
王昌齡,12,9629,0.001246235331,
陳陶,10,9573,0.001044604617,
鄭穀,55,9364,0.005873558308,
唐彥謙,21,9311,0.002255396842,
韓翃,4,9226,0.000433557338,
楊巨源,6,9178,0.0006537371976,
李頻,17,8872,0.001916140667,
李益,27,8751,0.003085361673,
武元衡,12,8678,0.001382807098,
李洞,8,8212,0.0009741841208,
元結,27,7971,0.003387278886,
耿湋,2,7921,0.000252493372,
盧照鄰,34,7675,0.004429967427,
馬戴,6,7406,0.0008101539292,
司空曙,2,7405,0.0002700877785,
李德裕,2,7388,0.0002707092583,
陳子昂,2,7325,0.0002730375427,
朱慶餘,9,7318,0.00122984422,
吳筠,4,6992,0.0005720823799,
羅鄴,26,6840,0.003801169591,
張喬,9,6810,0.001321585903,
許棠,19,6786,0.00279988211,
劉得仁,15,6556,0.002287980476,
戎昱,27,6386,0.004227998747,
獨孤及,12,6340,0.001892744479,
曹松,12,6318,0.001899335233,
蘇頲,3,6095,0.0004922067268,
施肩吾,41,6019,0.006811762751,
曹唐,25,6002,0.004165278241,
李嘉佑,4,5958,0.0006713662303,
薛逢,26,5930,0.004384485666,
李涉,20,5770,0.003466204506,
劉滄,1,5634,0.0001774937877,
周曇,37,5460,0.006776556777,
曹鄴,11,5325,0.0020657277,
劉商,29,5285,0.005487228004,
鄭谷,26,5244,0.004958047292,
李世民,2,5149,0.0003884249369,
胡曾,4,5004,0.0007993605116,
呂溫,10,4967,0.002013287699,
李山甫,19,4794,0.003963287443,
雍陶,23,4768,0.004823825503,
無可,1,4732,0.0002113271344,Yes
王勃,13,4545,0.002860286029,
花蕊夫人,17,4424,0.003842676311,
劉兼,9,4424,0.002034358047,
羊士諤,7,4412,0.001586582049,
張蠙,14,4404,0.003178928247,
李建勳,6,4377,0.001370801919,
和凝,5,4297,0.001163602513,
崔顥,12,4202,0.00285578296,
孫光憲,8,4177,0.00191525018,
項斯,3,4166,0.0007201152184,
周賀,1,4032,0.000248015873,Yes
崔塗,10,4020,0.002487562189,
歐陽詹,24,3897,0.006158583526,
馮延巳,9,3887,0.002315410342,
李隆基,2,3886,0.0005146680391,
劉希夷,8,3731,0.002144197266,
劉駕,14,3714,0.003769520732,
殷堯藩,6,3708,0.001618122977,
牟融,6,3568,0.00168161435,
劉言史,7,3506,0.001996577296,
于鵠,1,3484,0.0002870264064,
李郢,9,3481,0.002585463947,
常建,4,3436,0.001164144354,
王績,4,3358,0.001191185229,
孫逖,1,3284,0.0003045066991,
歐陽炯,15,3220,0.004658385093,
楊衡,8,3211,0.00249143569,
章孝標,6,3190,0.001880877743,
顧非熊,3,3024,0.0009920634921,
王貞白,4,3018,0.001325381047,
郎士元,5,3015,0.001658374793,
嚴維,4,2865,0.001396160558,
羅虯,9,2814,0.003198294243,
徐凝,21,2787,0.007534983854,
杜審言,1,2668,0.0003748125937,
王周,13,2629,0.004944845949,
賈至,9,2589,0.003476245655,
令狐楚,7,2573,0.002720559658,
虞世南,0,2557,0,
顧夐,10,2551,0.00392003136,
李珣,3,2547,0.001177856302,
薛濤,15,2512,0.00597133758,
喻鳧,2,2504,0.0007987220447,
喬知之,5,2494,0.002004811548,
魚玄機,5,2436,0.002052545156,
于濆,2,2430,0.0008230452675,
李瀚2,0,2387,0,
陳羽,7,2377,0.002944888515,
楊炯,1,2350,0.0004255319149,
李煜,8,2322,0.003445305771,
徐彥伯,1,2318,0.0004314063848,
錢珝,2,2272,0.0008802816901,
譚用之,5,2254,0.002218278616,
張泌,5,2250,0.002222222222,
聶夷中,6,2236,0.002683363148,
皇甫曾,1,2230,0.0004484304933,
裴說,7,2193,0.003191974464,
蕭穎士,11,2187,0.005029721079,
拾得,10,2166,0.004616805171,Semi
李華,5,2132,0.00234521576,
秦韜玉,7,2129,0.003287928605,
張謂,6,2114,0.002838221381,
孫元晏,5,2100,0.002380952381,
包佶,1,2100,0.0004761904762,
崔湜,0,2062,0,
李乂,1,2060,0.0004854368932,
崔峒,1,2052,0.0004873294347,
于武陵,6,2024,0.002964426877,
王涯,4,2016,0.001984126984,
司馬紮,6,2000,0.003,
孫魴,10,1979,0.0050530571,
王翰,18,1933,0.009311950336,
崔道融,9,1914,0.004702194357,
周朴,6,1908,0.003144654088,
許敬宗,0,1903,0,
姚鵠,8,1844,0.004338394794,
張繼,2,1840,0.001086956522,
李適,0,1834,0,
長孫佐輔,11,1813,0.006067291782,
邵謁,8,1806,0.004429678848,
靈一,3,1782,0.001683501684,Yes
崔國輔,6,1764,0.003401360544,
來鵠,20,1759,0.01137009665,
段成式,0,1736,0,
裴夷直,8,1716,0.004662004662,
汪遵,10,1708,0.005854800937,
杜光庭,7,1690,0.004142011834,
蘇拯,10,1685,0.005934718101,
祖詠,1,1684,0.000593824228,
武則天,4,1673,0.002390914525,
李百藥,0,1650,0,
崔櫓,15,1646,0.009113001215,
韋渠牟,0,1632,0,
劉叉,14,1626,0.008610086101,
高駢,14,1624,0.008620689655,
毛文錫,2,1595,0.001253918495,
殷文圭,6,1586,0.003783102144,
李遠,0,1562,0,
秦系,2,1560,0.001282051282,
孟雲卿,6,1552,0.003865979381,
盧象,2,1548,0.001291989664,
張南史,2,1538,0.001300390117,
盧肇,6,1530,0.003921568627,
翁承贊,3,1514,0.001981505945,
竇庠,5,1493,0.003348961822,
牛嶠,6,1488,0.004032258065,
林寬,4,1469,0.002722940776,
李昌符,3,1468,0.00204359673,
唐求,5,1466,0.003410641201,
毛熙震,1,1458,0.0006858710562,
尚顏,5,1454,0.003438789546,Yes
儲嗣宗,1,1452,0.0006887052342,
鄭愔,0,1443,0,
張仲素,3,1424,0.002106741573,
陶翰,0,1421,0,
鄭嵎,0,1401,0,
褚亮,1,1400,0.0007142857143,
竇鞏,2,1396,0.001432664756,
章碣,6,1384,0.004335260116,
魏征,2,1361,0.001469507715,
沈亞之,5,1345,0.003717472119,
任華,12,1339,0.008961911875,
朱灣,8,1338,0.005979073244,
楊凝,7,1336,0.005239520958,
劉威,5,1336,0.00374251497,
張碧,5,1316,0.003799392097,
李廓,4,1270,0.003149606299,
劉方平,1,1267,0.0007892659826,
于鄴,4,1244,0.003215434084,
崔融1,0,1244,0,
孟貫,1,1240,0.0008064516129,
劉憲,1,1212,0.0008250825083,
盧鴻一,4,1208,0.003311258278,
竇常,2,1200,0.001666666667,
韓琮,9,1188,0.007575757576,
崔玨,8,1187,0.006739679865,
伍喬,1,1186,0.0008431703204,
鄭巢,0,1160,0,
上官儀,0,1138,0,
竇牟,0,1121,0,
楊師道,0,1106,0,
沈彬,2,1104,0.001811594203,
趙冬曦,1,1084,0.0009225092251,
綦毋潛,0,1082,0,
修睦,6,1080,0.005555555556,Yes
高蟾,0,1079,0,
舒元輿,2,1078,0.00185528757,
陸暢,8,1064,0.007518796992,
王灣,0,1064,0,
胡宿,0,1064,0,
顧雲,4,1059,0.003777148253,
吳少微,3,1057,0.002838221381,
魏承班,1,1042,0.0009596928983,
劉複,0,1028,0,
清江,3,1022,0.002935420744,Yes
賀知章,4,1016,0.003937007874,
子蘭,5,994,0.005030181087,Yes
水神,4,983,0.004069175992,
尹鶚,0,982,0,
盧僎,0,971,0,
周繇,0,968,0,
劉昚虛,1,959,0.001042752868,
皇甫松,2,941,0.002125398512,
薛昭蘊,4,940,0.004255319149,
張子容,0,938,0,
趙彥昭,1,928,0.001077586207,
熊孺登,5,924,0.005411255411,
王轂,1,923,0.001083423619,
王季友1,7,920,0.007608695652,
武平一,1,896,0.001116071429,
朱放,2,888,0.002252252252,
竇群,0,884,0,
上官昭容,0,883,0,
薛據,0,880,0,
廣宣,2,876,0.002283105023,Yes
閻朝隱,9,872,0.01032110092,
蘇味道,0,846,0,
喻坦之,1,840,0.00119047619,
許彬,0,840,0,
王仁裕,1,822,0.001216545012,
莊南傑,4,820,0.00487804878,
董思恭,0,800,0,
翁綬,2,798,0.002506265664,
包何,1,796,0.001256281407,
裴度,2,778,0.002570694087,
靈澈,6,775,0.007741935484,
李冶,5,774,0.00645994832,
成彥雄,4,772,0.00518134715,
郭震,2,761,0.002628120894,
崔曙,0,754,0,
雍裕之,2,750,0.002666666667,
丁仙芝,0,743,0,
丘為,2,738,0.0027100271,
陳子良,0,736,0,
常袞,0,734,0,
王初,3,728,0.004120879121,
徐氏,0,728,0,
鄭畋,1,727,0.001375515818,
翁洮,0,724,0,
薛存誠,0,720,0,
裴迪,0,720,0,
李敬方,0,708,0,
暢當,0,708,0,
法振,0,707,0,Yes
牛希濟,1,706,0.001416430595,
薛稷,1,690,0.001449275362,
蔣防,1,688,0.001453488372,
陸希聲,2,672,0.002976190476,
慧淨,1,666,0.001501501502,Yes
顏真卿,0,666,0,
任翻,0,664,0,
棲白,2,652,0.003067484663,Yes
丘丹,0,648,0,
李九齡,2,644,0.003105590062,
張賁,2,641,0.003120124805,
李義府,1,633,0.001579778831,
楊淩,0,630,0,
武三思,0,630,0,
韋嗣立,0,624,0,
賀蘭進明,0,624,0,
盧藏用,1,620,0.001612903226,
袁朗,0,620,0,
褚載,6,618,0.009708737864,
崔日用,2,615,0.00325203252,
梁鍠,0,614,0,
楊夔,1,612,0.001633986928,
虛中,0,610,0,Yes
楊發,2,608,0.003289473684,
薛曜,1,605,0.001652892562,
李渤,2,604,0.003311258278,
孟簡,1,604,0.001655629139,
孔德紹,0,600,0,
裴潾,5,596,0.008389261745,
義淨,2,595,0.003361344538,Yes
費冠卿,0,595,0,
楊憑,3,592,0.005067567568,
姚系,1,590,0.001694915254,
路德延,1,590,0.001694915254,
護國,2,588,0.003401360544,Yes
韋蟾,2,588,0.003401360544,
張潮,3,586,0.005119453925,
盧延讓,1,586,0.001706484642,
許景先,1,582,0.001718213058,
孟遲,6,581,0.01032702238,
劉允濟,0,581,0,
徐堅,0,576,0,
僧鸞,3,574,0.005226480836,Yes
修雅,3,569,0.005272407733,Yes
張若虛,2,564,0.003546099291,
陳標,3,560,0.005357142857,
劉昭禹,1,558,0.001792114695,
崔元翰,0,558,0,
張又新,0,552,0,
張志和,3,548,0.005474452555,
崔液,2,536,0.003731343284,
馬懷素,0,536,0,
胡皓,0,531,0,
鄭遨,3,528,0.005681818182,
晁采,2,528,0.003787878788,
熊皎,1,522,0.001915708812,
徐安貞,0,522,0,
閻選,1,514,0.001945525292,
李約,0,512,0,
李昂2,4,508,0.007874015748,
陳去疾,1,508,0.001968503937,
薛奇童,0,506,0,
棲蟾,2,496,0.004032258065,Yes
張諤,0,495,0,
任希古,0,490,0,
韋元旦,1,488,0.002049180328,
李治,2,487,0.004106776181,
賀朝,0,487,0,
李沇,0,485,0,
萬楚,1,484,0.002066115702,
朱景玄,0,482,0,
袁暉,2,480,0.004166666667,
李逢吉,0,478,0,
馬異,1,473,0.002114164905,
崔泰之,0,460,0,
鄭錫,0,456,0,
皇甫湜,1,450,0.002222222222,
王適,0,450,0,
包融,0,449,0,
王渙,3,448,0.006696428571,
冷朝陽,0,448,0,
柳中庸,0,448,0,
蕭至忠,1,444,0.002252252252,
盧士衡,3,442,0.006787330317,
王諲,2,441,0.004535147392,
王起,1,441,0.002267573696,
竇叔向,1,438,0.002283105023,
鮑防,2,436,0.004587155963,
詹敦仁,4,435,0.009195402299,
徐光溥,3,432,0.006944444444,
劉灣,2,430,0.004651162791,
王睿,2,428,0.004672897196,
蕭祜,1,427,0.002341920375,
宋齊丘,2,421,0.004750593824,
可止,2,418,0.004784688995,Yes
李紓,1,416,0.002403846154,
嵩岳諸仙,2,414,0.004830917874,
王泠然,1,414,0.002415458937,
楊乘,2,412,0.004854368932,
韓溉,0,406,0,
牛僧孺,3,402,0.007462686567,
盧殷,0,400,0,
李赤,0,400,0,
辛常伯,1,399,0.002506265664,
李宣古,2,398,0.005025125628,
崔涯,3,396,0.007575757576,
歐陽袞,0,396,0,
嚴武,1,392,0.002551020408,
王縉,0,392,0,
徐仲雅,2,390,0.005128205128,
沈千運,0,390,0,
蔣吉,1,388,0.002577319588,
白行簡,0,388,0,
李玖,3,384,0.0078125,
趙光逢,2,384,0.005208333333,
張紹,0,384,0,
