Poet,double-draft instances,size of corpus (characters),double-draft ratio,Monk
來鵠,20,1759,0.01137009665,
孟遲,6,581,0.01032702238,
閻朝隱,9,872,0.01032110092,
褚載,6,618,0.009708737864,
王翰,18,1933,0.009311950336,
崔櫓,15,1646,0.009113001215,
任華,12,1339,0.008961911875,
高駢,14,1624,0.008620689655,
劉叉,14,1626,0.008610086101,
裴潾,5,596,0.008389261745,
盧仝,84,10328,0.008133230054,
杜荀鶴,119,14739,0.008073817762,
李昂2,4,508,0.007874015748,
靈澈,6,775,0.007741935484,Yes
王季友1,7,920,0.007608695652,
呂岩,129,16957,0.007607477738,
貫休,305,40196,0.007587819684,Yes
韓琮,9,1188,0.007575757576,
徐凝,21,2787,0.007534983854,
陸暢,8,1064,0.007518796992,
施肩吾,41,6019,0.006811762751,
周曇,37,5460,0.006776556777,
崔玨,8,1187,0.006739679865,
李冶,5,774,0.00645994832,
歐陽詹,24,3897,0.006158583526,
長孫佐輔,11,1813,0.006067291782,
朱灣,8,1338,0.005979073244,
薛濤,15,2512,0.00597133758,
蘇拯,10,1685,0.005934718101,
鄭穀,55,9364,0.005873558308,
汪遵,10,1708,0.005854800937,
鄭遨,3,528,0.005681818182,
修睦,6,1080,0.005555555556,Yes
顧況,77,13894,0.005541960559,
司空圖,71,12933,0.005489832212,
劉商,29,5285,0.005487228004,
張志和,3,548,0.005474452555,
元稹,362,66447,0.005447950999,
熊孺登,5,924,0.005411255411,
陳標,3,560,0.005357142857,
修雅,3,569,0.005272407733,Yes
楊凝,7,1336,0.005239520958,
僧鸞,3,574,0.005226480836,Yes
成彥雄,4,772,0.00518134715,
張潮,3,586,0.005119453925,
楊憑,3,592,0.005067567568,
孫魴,10,1979,0.0050530571,
子蘭,5,994,0.005030181087,Yes
蕭穎士,11,2187,0.005029721079,
王建,132,26437,0.004993002232,
鄭谷,26,5244,0.004958047292,
王周,13,2629,0.004944845949,
莊南傑,4,820,0.00487804878,
雍陶,23,4768,0.004823825503,
崔道融,9,1914,0.004702194357,
