poet,size of corpus (characters),Monk
白居易,188038,
杜甫,105933,
李白,84476,
元稹,66447,
劉禹錫,47856,
韓愈,41518,
貫休,40196,Yes
齊己,38563,Yes
陸龜蒙,36564,
韋應物,33344,
李商隱,32838,
孟郊,32451,
無名氏,30236,
劉長卿,29030,
皎然,28165,Yes
杜牧,27627,
皮日休,26954,
王建,26437,
姚合,25269,
許渾,24949,
張籍,24705,
錢起,24499,
岑參,24321,
溫庭筠,24241,
羅隱,24056,
權德輿,22424,
王維,21036,
韋莊,19156,
高適,19000,
李賀,18405,
賈島,18062,
張說,18043,
盧綸,17694,
方干,17122,
呂岩,16957,
吳融,16715,
韓偓,15970,
薛能,15884,
儲光羲,15818,
徐鉉,15572,
柳宗元,15171,
張祜,14892,
杜荀鶴,14739,
徐夤,14325,
張九齡,14205,
顧況,13894,
李端,13802,
李中,13640,
寒山,13434,Semi
鮑溶,13251,
孟浩然,13033,
司空圖,12933,
戴叔倫,12687,
李群玉,12548,
駱賓王,11835,
宋之問,11674,
趙嘏,11542,
李咸用,11107,
皇甫冉,11064,
沈佺期,11006,
李嶠,10531,
黃滔,10359,
盧仝,10328,
李紳,10311,
李頎,10235,
王昌齡,9629,
陳陶,9573,
鄭穀,9364,
唐彥謙,9311,
韓翃,9226,
楊巨源,9178,
李頻,8872,
李益,8751,
武元衡,8678,
李洞,8212,
元結,7971,
耿湋,7921,
盧照鄰,7675,
馬戴,7406,
司空曙,7405,
李德裕,7388,
陳子昂,7325,
朱慶餘,7318,
吳筠,6992,
羅鄴,6840,
張喬,6810,
許棠,6786,
劉得仁,6556,
戎昱,6386,
獨孤及,6340,
曹松,6318,
蘇頲,6095,
施肩吾,6019,
曹唐,6002,
李嘉佑,5958,
薛逢,5930,
李涉,5770,
劉滄,5634,
周曇,5460,
曹鄴,5325,
劉商,5285,
鄭谷,5244,
李世民,5149,
胡曾,5004,
呂溫,4967,
李山甫,4794,
雍陶,4768,
無可,4732,Yes
王勃,4545,
劉兼,4424,
花蕊夫人,4424,
羊士諤,4412,
張蠙,4404,
李建勳,4377,
和凝,4297,
崔顥,4202,
孫光憲,4177,
項斯,4166,
周賀,4032,Yes
崔塗,4020,
歐陽詹,3897,
馮延巳,3887,
李隆基,3886,
劉希夷,3731,
劉駕,3714,
殷堯藩,3708,
牟融,3568,
劉言史,3506,
于鵠,3484,
李郢,3481,
常建,3436,
王績,3358,
孫逖,3284,
歐陽炯,3220,
楊衡,3211,
章孝標,3190,
顧非熊,3024,
王貞白,3018,
郎士元,3015,
嚴維,2865,
羅虯,2814,
徐凝,2787,
杜審言,2668,
王周,2629,
賈至,2589,
令狐楚,2573,
虞世南,2557,
顧夐,2551,
李珣,2547,
薛濤,2512,
喻鳧,2504,
喬知之,2494,
魚玄機,2436,
于濆,2430,
李瀚2,2387,
陳羽,2377,
楊炯,2350,
李煜,2322,
徐彥伯,2318,
錢珝,2272,
譚用之,2254,
張泌,2250,
聶夷中,2236,
皇甫曾,2230,
裴說,2193,
蕭穎士,2187,
拾得,2166,Semi
李華,2132,
秦韜玉,2129,
張謂,2114,
包佶,2100,
孫元晏,2100,
崔湜,2062,
李乂,2060,
崔峒,2052,
于武陵,2024,
王涯,2016,
司馬紮,2000,
孫魴,1979,
王翰,1933,
崔道融,1914,
周朴,1908,
許敬宗,1903,
姚鵠,1844,
張繼,1840,
李適,1834,
